layer,x1,y1,x2,y2,width,height,area,feature_type,grid_row,grid_col
met1,71.44500000000001,93.58500000000001,71.615,93.755,0.1699999999999875,0.1699999999999875,0.02889999999999575,wire,9,7
met1,72.365,93.58500000000001,72.535,93.755,0.1700000000000017,0.1699999999999875,0.028899999999998163,wire,9,7
met1,75.125,93.58500000000001,75.295,93.755,0.1700000000000017,0.1699999999999875,0.028899999999998163,wire,9,7
met1,77.885,93.58500000000001,78.055,93.755,0.1700000000000017,0.1699999999999875,0.028899999999998163,wire,9,7
met1,81.565,93.58500000000001,81.735,93.755,0.1700000000000017,0.1699999999999875,0.028899999999998163,wire,9,8
met1,84.325,93.58500000000001,84.495,93.755,0.1700000000000017,0.1699999999999875,0.028899999999998163,wire,9,8
met1,86.165,93.58500000000001,86.33500000000001,93.755,0.1700000000000017,0.1699999999999875,0.028899999999998163,wire,9,8
met1,88.465,93.58500000000001,88.635,93.755,0.1700000000000017,0.1699999999999875,0.028899999999998163,wire,9,8
met1,70.525,92.905,70.69500000000001,93.075,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,73.285,92.905,73.455,93.075,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,76.045,92.905,76.215,93.075,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,78.805,92.905,78.97500000000001,93.075,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,80.645,92.905,80.815,93.075,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,83.405,92.905,83.575,93.075,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,87.08500000000001,92.905,87.255,93.075,0.1699999999999875,0.1700000000000017,0.028899999999998163,wire,9,8
met1,89.385,92.905,89.555,93.075,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,75.58500000000001,91.885,75.755,92.055,0.1699999999999875,0.1700000000000017,0.028899999999998163,wire,9,7
met1,78.805,91.545,78.97500000000001,91.715,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,69.145,91.205,69.315,91.375,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,6
met1,75.125,91.205,75.295,91.375,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,76.505,91.205,76.675,91.375,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,77.885,91.205,78.055,91.375,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,79.265,91.205,79.435,91.375,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,79.72500000000001,91.205,79.895,91.375,0.1699999999999875,0.1700000000000017,0.028899999999998163,wire,9,7
met1,80.645,91.205,80.815,91.375,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,84.325,91.205,84.495,91.375,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,89.385,91.205,89.555,91.375,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,80.185,90.865,80.355,91.035,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,83.865,90.865,84.035,91.035,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,86.165,90.525,86.33500000000001,90.69500000000001,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,77.425,90.185,77.595,90.355,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,78.345,90.185,78.515,90.355,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,7
met1,88.465,90.185,88.635,90.355,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,9,8
met1,70.525,89.165,70.69500000000001,89.33500000000001,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,7
met1,79.265,88.485,79.435,88.655,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,7
met1,89.385,88.485,89.555,88.655,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,8
met1,77.885,87.805,78.055,87.97500000000001,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,7
met1,88.005,87.805,88.175,87.97500000000001,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,8
met1,80.645,87.465,80.815,87.635,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,8
met1,77.425,86.44500000000001,77.595,86.615,0.1700000000000017,0.1699999999999875,0.028899999999998163,wire,8,7
met1,74.205,86.105,74.375,86.275,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,7
met1,76.505,85.765,76.675,85.935,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,7
met1,76.045,85.425,76.215,85.595,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,7
met1,80.185,83.72500000000001,80.355,83.895,0.1700000000000017,0.1699999999999875,0.028899999999998163,wire,8,8
met1,71.44500000000001,83.045,71.615,83.215,0.1699999999999875,0.1700000000000017,0.028899999999998163,wire,8,7
met1,89.385,83.045,89.555,83.215,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,8
met1,72.825,82.365,72.995,82.535,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,7
met1,88.005,82.365,88.175,82.535,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,8
met1,80.645,82.025,80.815,82.19500000000001,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,8
met1,70.985,81.005,71.155,81.175,0.1700000000000017,0.1700000000000017,0.02890000000000058,wire,8,7
