grid_row,grid_col,density_um2
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,2.227400000000009
0,8,0.0
0,9,0.0
1,0,165.75639999999987
1,1,1.8411999999999935
1,2,0.0
1,3,1.481200000000002
1,4,1.8411999999999928
1,5,0.0
1,6,1.4812000000000074
1,7,3.7585999999998485
1,8,0.0
1,9,0.0
2,0,181.45329999999998
2,1,13.925800000000011
2,2,16.61390000000006
2,3,19.177200000000028
2,4,8.99930000000002
2,5,17.824600000000064
2,6,5.714200000000002
2,7,14.461999999999895
2,8,10.805700000000009
2,9,0.0
3,0,133.13410000000047
3,1,11.430999999999925
3,2,8.77760000000003
3,3,12.387599999999928
3,4,27.999199999999938
3,5,8.555300000000024
3,6,21.844099999999962
3,7,28.864700000000052
3,8,9.432100000000023
3,9,0.0
4,0,176.65750000000028
4,1,13.939999999999905
4,2,23.430000000000057
4,3,31.05920000000007
4,4,13.735599999999955
4,5,21.27929999999999
4,6,20.790599999999984
4,7,12.200599999999886
4,8,21.222899999999488
4,9,0.0
5,0,173.80319999999963
5,1,22.114000000000026
5,2,31.672599999999633
5,3,12.56900000000003
5,4,15.929099999999977
5,5,17.38869999999998
5,6,20.97660000000006
5,7,26.103899999999896
5,8,12.161000000000032
5,9,0.0
6,0,128.28559999999868
6,1,17.829999999999732
6,2,21.958199999999987
6,3,18.044500000000095
6,4,11.172800000000048
6,5,28.87270000000001
6,6,21.70680000000005
6,7,9.00479999999985
6,8,19.241100000000056
6,9,0.0
7,0,170.7587000000013
7,1,16.997500000000006
7,2,11.965499999999956
7,3,10.10520000000005
7,4,15.266099999999966
7,5,16.67625000000005
7,6,13.79369999999998
7,7,21.00025
7,8,11.329099999999954
7,9,0.0
8,0,168.29190000000148
8,1,16.29619999999988
8,2,13.204700000000033
8,3,16.13279999999991
8,4,9.69020000000001
8,5,10.97105000000003
8,6,18.957900000000024
8,7,12.74934999999997
8,8,10.312699999999976
8,9,0.0
9,0,89.51489999999954
9,1,18.408899999999953
9,2,10.08700000000002
9,3,13.285500000000013
9,4,12.231400000000049
9,5,14.531699999999852
9,6,16.9534
9,7,12.105100000000022
9,8,11.174200000000008
9,9,1.860500000000007
10,0,2.239999999999995
10,1,4.534600000000005
10,2,3.469199999999986
10,3,4.58919999999999
10,4,4.698400000000019
10,5,3.359999999999985
10,6,4.66340000000002
10,7,3.5237999999999583
10,8,4.901400000000022
10,9,1.1200000000000045
